DATE_OBS             IT02SMIR  IT01PMRF  IT04TELF  IT03PMRA  IT06TELM  IT05TELA  IT08GTWM  IT07PZTA  IT10CEBN   IT09GTB  IT12HOPA  IT11CEBP  IT14SPPX  IT13FRAP  IT16SPNX  IT15SPPY  IT18SPPZ  IT17SPNY  IT20PMRA  IT19SPNZ  IT22PCBP  IT21TELD   IT24CPU  IT23PCPC  IT26MEC1   IT25OSC  IT28SMRA  IT27MEC2  IT30TMGT  IT29TFGT  BT12CCD2  BT11CCD1  BT14CCD4  BT13CCD3  BT01TELA  BT02TELF  BT03PMAP  BT04PMRD  BT05GTEL  BT06CBPX  BT07CBNX  BT08SPPX  BT09SPNX  BT10HOPA   BT15IEB  BT16PMSP  BT17SMAP  ITF2CCD2  ITF1CCD1  ITNUCCD3  ITSJCCD4
2015-07-28T00:00:30     29.40     41.97     28.52     39.88     23.71     32.08     27.74     30.70      1.85     21.01     88.27      1.53     19.00     30.15     19.01     21.86     24.44     21.45     12.61      6.96     31.02     33.48     35.36     38.31     32.30     33.35     29.92     31.14     21.19     25.93    -63.45    -63.45    -54.24    -54.24     34.09     28.80     12.85      5.12     23.92      0.48      1.21     18.55     17.82     91.06     31.00     31.00     30.27    -63.00    -63.17    -63.00    -63.83
2015-07-28T00:01:30     29.40     41.91     28.53     39.86     23.69     32.08     27.77     30.73      1.85     20.98     88.43      1.54     19.08     30.17     18.98     21.86     24.44     21.46     12.63      6.96     31.00     33.51     35.35     38.26     32.23     33.36     29.93     31.09     21.26     25.97    -63.45    -63.45    -54.24    -54.24     34.17     28.88     12.93      4.96     23.84      0.48      1.21     18.79     17.73     91.06     31.00     31.00     30.27    -63.00    -63.00    -62.92    -63.58
2015-07-28T00:02:30     29.39     41.93     28.53     39.88     23.71     32.08     27.77     30.75      1.87     20.98     88.38      1.55     19.07     30.20     19.03     21.87     24.45     21.46     12.64      6.96     30.99     33.50     35.29     38.24     32.20     33.29     29.94     31.07     21.34     26.01    -63.45    -63.45    -54.24    -54.24     34.17     28.96     12.93      4.88     23.76      0.48      1.21     18.55     17.82     90.90     31.00     31.00     30.27    -63.00    -63.00    -62.83    -63.58
2015-07-28T00:03:30     29.39     41.94     28.55     39.89     23.70     32.08     27.76     30.75      1.87     20.96     88.33      1.57     19.04     30.21     19.02     21.86     24.44     21.46     12.65      6.96     30.94     33.50     35.27     38.22     32.17     33.30     29.94     31.04     21.42     26.05    -63.45    -63.45    -54.24    -54.24     34.17     29.05     12.93      4.88     23.76      0.48      1.21     18.55     17.82     90.81     31.00     31.00     30.27    -63.00    -63.00    -62.67    -63.42
2015-07-28T00:04:30     29.39     41.96     28.57     39.85     23.71     32.08     27.77     30.79      1.88     20.99     88.27      1.58     19.02     30.24     19.00     21.87     24.45     21.47     12.65      6.96     30.92     33.50     35.24     38.22     32.14     33.29     29.93     31.01     21.49     26.13    -63.45    -63.45    -54.24    -54.24     34.17     29.05     12.93      4.88     23.84      0.48      1.21     18.55     17.82     90.81     31.00     31.00     30.27    -63.00    -63.00    -62.67    -63.33
2015-07-28T00:05:30     29.39     41.95     28.56     39.87     23.69     32.09     27.78     30.79      1.89     20.99     88.33      1.59     19.01     30.27     19.04     21.87     24.44     21.47     12.66      6.95     30.92     33.52     35.21     38.16     32.11     33.27     29.93     30.99     21.55     26.17    -63.45    -63.45    -54.24    -54.24     34.17     29.05     12.93      4.79     23.76      0.48      1.21     18.55     17.82     90.81     31.00     31.00     30.27    -63.00    -63.00    -62.33    -63.25
2015-07-28T00:06:30     29.39     41.97     28.56     39.88     23.72     32.08     27.77     30.79      1.91     20.98     88.33      1.60     19.03     30.28     19.07     21.86     24.44     21.46     12.66      6.95     30.88     33.50     35.21     38.15     32.09     33.27     29.94     30.97     21.61     26.24    -63.45    -63.45    -54.24    -54.24     34.17     29.05     12.93      4.63     23.76      0.56      1.21     18.55     17.82     90.81     31.00     31.00     30.27    -63.00    -63.00    -62.00    -63.08
2015-07-28T00:07:30     29.39     41.98     28.57     39.90     23.70     32.08     27.78     30.79      1.91     20.99     88.27      1.62     19.02     30.31     19.03     21.87     24.45     21.48     12.66      6.94     30.85     33.52     35.19     38.15     32.08     33.26     29.94     30.94     21.70     26.30    -63.45    -63.45    -54.24    -54.24     34.17     29.05     12.93      4.55     23.67      0.64      1.21     18.55     17.82     90.81     31.00     31.00     30.27    -63.00    -63.00    -62.33    -63.08
2015-07-28T00:08:30     29.38     41.95     28.59     39.91     23.70     32.08     27.78     30.80      1.93     20.97     88.22      1.65     19.05     30.32     19.01     21.86     24.44     21.46     12.66      6.95     30.86     33.52     35.20     38.12     32.08     33.21     29.94     30.92     21.78     26.34    -63.45    -63.45    -54.24    -54.24     34.17     29.05     12.93      4.39     23.67      0.56      1.21     18.55     17.82     90.81     31.00     31.00     30.27    -63.00    -63.00    -62.00    -63.00
2015-07-28T00:09:30     29.39     41.97     28.59     39.90     23.71     32.08     27.77     30.81      1.94     20.98     87.86      1.66     19.03     30.35     19.02     21.86     24.45     21.47     12.66      6.95     30.86     33.51     35.18     38.08     32.04     33.20     29.95     30.88     21.84     26.39    -63.45    -63.45    -54.24    -54.24     34.17     29.05     12.93      4.39     23.67      0.73      1.30     18.55     17.82     90.73     31.00     31.00     30.27    -63.00    -63.00    -62.00    -63.00
2015-07-28T00:10:30     29.40     41.97     28.60     39.89     23.71     32.09     27.78     30.77      1.96     21.00     87.81      1.68     19.01     30.36     19.00     21.86     24.45     21.46     12.64      6.94     30.82     33.52     35.18     38.10     32.02     33.21     29.96     30.83     21.89     26.42    -63.45    -63.45    -54.24    -54.24     34.17     29.05     12.93      4.23     23.67      0.73      1.38     18.55     17.82     90.73     31.00     31.00     30.27    -63.00    -63.00    -62.00    -63.00
2015-07-28T00:11:30     29.40     41.95     28.60     39.89     23.71     32.09     27.78     30.77      1.98     20.98     87.96      1.71     19.02     30.39     18.98     21.86     24.47     21.50     12.64      6.95     30.82     33.50     35.17     38.08     32.00     33.20     29.95     30.82     21.93     26.46    -63.45    -63.45    -54.24    -54.24     34.17     29.05     12.93      4.14     23.67      0.73      1.46     18.55     17.82     90.57     31.00     31.00     30.27    -62.58    -63.00    -62.00    -63.00
2015-07-28T00:12:30     29.38     41.95     28.63     39.87     23.71     32.08     27.79     30.75      2.00     20.98     87.86      1.73     19.03     30.40     18.99     21.86     24.45     21.46     12.64      6.95     30.84     33.50     35.15     38.06     31.99     33.19     29.94     30.79     21.98     26.51    -63.45    -63.45    -54.24    -54.24     34.17     29.05     12.93      3.90     23.67      0.73      1.46     18.55     17.82     90.57     31.00     30.92     30.27    -62.25    -63.00    -62.00    -63.00
2015-07-28T00:13:30     29.40     41.92     28.63     39.91     23.72     32.08     27.78     30.73      2.01     20.97     87.96      1.74     19.00     30.40     19.02     21.88     24.44     21.50     12.63      6.94     30.82     33.48     35.15     38.04     31.94     33.18     29.94     30.77     22.01     26.54    -63.45    -63.45    -54.24    -54.24     34.17     29.05     12.93      3.82     23.67      0.73      1.46     18.55     17.82     90.57     31.00     31.00     30.27    -62.08    -63.00    -62.00    -63.00
